"","GSM416798","GSM416799","GSM416800","GSM416801","GSM416802","GSM416803","GSM416804","GSM416805","GSM416806","GSM416807","GSM416808","GSM416809","GSM416810","GSM416811","GSM416812","GSM416813","GSM416814","GSM416815","GSM416816","GSM416817","GSM416818","GSM416819","GSM416820","GSM416821","GSM416822","GSM416823","GSM416824","GSM416825","GSM416826","GSM416827","GSM416828","GSM416829","GSM416830","GSM416831","GSM416832","GSM416833","GSM416834","GSM416835","GSM416836","GSM416837","GSM416838","GSM416839","GSM416840","GSM416841","GSM416842","GSM416843","GSM416844","GSM416845","GSM416846","GSM416847","GSM416848","GSM416849","GSM416850","GSM416851","GSM416852","GSM416853","GSM416854","GSM416855","GSM416856","GSM416857","GSM416858","GSM416859","GSM416860","GSM416861","GSM416862","GSM416863","GSM416864","GSM416865"
"APOE",3112.018531,1748.022229,8301.386986,326.8257562,2445.350065,6125.001016,2991.263007,5118.633687,5226.907469,4799.60254,4230.634694,5887.588195,4223.416664,4631.781193,1727.348872,5057.661525,3485.544901,6018.617322,6342.764996,6761.570645,5908.708573,3956.699894,8570.94828,5552.673878,3156.754392,6458.003796,3227.962435,5424.793657,7927.659399,3879.385947,4143.536388,7466.06428,5794.11277,9342.341985,6384.329847,3336.018339,7979.550706,3587.6205,4708.147493,2768.200429,8415.439616,5718.047003,4522.892766,7242.298301,2961.804712,8428.105903,3477.897692,8509.283864,2720.545805,6880.563774,3835.503178,5334.837053,4897.93391,3031.928543,2523.705659,4843.292651,12855.12953,495.3627402,4577.852098,2603.82786,8132.909807,1367.092191,6146.289937,6775.755531,6327.317056,1414.764318,6690.419582,4014.793944
"BMP4",2241.82671,153.7856816,974.1973608,650.515222,2022.483654,1275.122982,739.7095534,1461.170007,736.4770397,1222.844862,2341.885666,2941.421806,1961.292676,800.7267502,700.4861201,329.5827615,1960.275635,2270.466546,2250.845275,607.1344626,1489.635658,2624.322518,753.9817886,955.2230885,1943.19304,633.9620094,696.0471364,1246.274004,1383.066166,936.9518155,439.6487826,1116.494972,2575.274193,1623.331669,3250.266435,2224.860919,1948.667383,723.1788593,798.7644103,1763.803367,2403.606374,3364.895429,367.4657616,1492.154586,105.386976,2353.629861,1889.697762,199.3258992,1400.504529,1193.060895,585.1876528,1175.294244,3088.280604,2100.575979,611.2847172,873.3694303,847.6253755,2590.503558,1439.255228,685.7394332,1949.650211,294.819875,2139.590474,961.3729563,1359.597151,3403.681815,1268.215811,1151.032667
"CBS",176.507434,50.7535889,171.8565058,46.23137328,100.8200177,121.5527226,111.4087277,122.0057879,166.9171156,154.5285659,235.8240807,321.2903516,195.3198439,399.3652137,190.1668452,281.008091,124.5764048,114.048518,136.8052196,95.23484316,132.622473,167.4953826,98.22636421,228.4609767,176.6165251,71.94649665,529.347372,199.1565736,196.1944279,83.54541383,153.654826,152.11453,204.9728597,143.9882999,130.9204207,125.0212538,301.6296815,67.9801984,346.4387492,245.7973106,311.4739055,116.8602707,205.0680023,150.2093683,239.9786509,82.53014097,183.9510988,330.5217252,143.6691403,101.8224514,126.281334,190.4403082,138.5579998,88.96473526,75.99582279,85.40926122,99.18360129,380.415158,155.5640834,99.97052825,517.7422966,209.1700354,313.5720635,294.2228368,261.6618216,198.5966785,234.0293602,229.0883674
"CCND1",1656.166787,2304.920891,1418.673003,1554.307646,7577.430703,518.5774182,3625.522605,2291.67715,2297.906443,1672.525071,333.0023589,2686.728784,1439.27279,2341.340822,230.7113054,756.8520811,1641.677823,3407.358249,774.5537593,2036.39938,2235.709001,1266.022156,4213.2113,578.6737381,1057.910552,1740.94798,1002.744346,1098.855314,1385.65385,2868.657252,2110.388955,3799.677857,993.442462,1870.232248,1726.25697,577.0459003,1096.824546,243.6215311,894.9676762,735.8888813,1094.605755,916.5018122,853.1817759,2462.661351,3125.02378,1785.909119,3030.153537,912.227567,575.3754131,1760.211003,182.7057444,343.7734614,767.4396326,1740.596811,3365.162883,1414.530281,3917.063352,1050.691934,619.4399274,1385.794909,416.0952682,1181.074371,1994.691232,190.4183317,2526.188338,761.6300405,1709.810209,1009.008345
"CDH1",252.9661631,53.76936153,382.7225945,337.4524475,100.3701435,342.3102491,798.8382557,326.4546659,416.1730639,618.3378013,163.5369239,825.35144,177.4838306,558.8494391,99.28141884,212.2273294,266.3158864,604.4998515,285.2960285,214.1982841,65.92465655,142.0314463,420.5986113,270.2860047,169.7468178,355.4358023,221.8739499,180.3130739,541.3238789,1307.508451,273.7519331,430.2240978,413.26841,396.4812298,282.0242865,101.554862,264.441085,166.833637,73.90153947,145.0929452,219.0929342,325.5242741,147.2801103,500.949737,176.1974169,567.576581,348.2573127,213.7735381,186.2845404,356.5393319,117.545862,211.6204142,284.089989,226.1132368,1347.553433,64.4457862,1135.705885,203.4646359,156.6088319,377.574314,182.8431727,14.59087076,262.9123146,194.2823965,91.42409265,144.1316512,502.1981272,55.18502767
"CDH3",429.2041127,90.82198664,72.69385167,73.0225272,73.24305651,147.7565418,138.2115897,250.9465648,345.469544,520.5986852,231.4639566,110.6983634,400.1394825,133.4866328,187.1042093,327.7329771,268.7258618,71.27849941,207.4564537,179.4423297,163.1622239,412.6906498,97.090417,509.2639297,646.6201645,62.39870613,402.7843747,374.5273459,288.5986134,504.2000518,183.834114,135.162498,658.495996,303.2886968,359.2805943,364.0353746,373.5079445,385.1911873,384.9564231,406.134126,606.3623533,390.3016095,104.7650837,159.4555965,432.8713849,415.4993925,513.1889196,105.4535528,388.5475922,162.3570241,140.6185266,344.202201,316.6396759,596.828957,103.4581781,279.2341161,74.60135365,241.3187849,732.0466678,441.7188326,89.60149097,198.5271455,273.7629735,600.9820179,132.1998632,92.20401405,503.9665605,220.5260783
"ERBB2",37.24110156,48.36722256,24.87955662,80.0171067,22.35065755,69.18613222,49.875673,42.80595793,17.14410396,34.78846257,53.86892663,34.85020792,44.66192668,53.86200224,33.00333882,28.46662605,29.49619891,45.98092947,69.85983913,35.70836173,42.40512534,32.50151535,21.65952471,35.36966703,43.33563208,28.00405257,72.07259272,36.03255206,63.65467077,30.53787794,34.90934155,30.76414541,29.49276089,29.09440775,47.66231337,51.32552387,35.88798859,32.01950216,27.26545707,36.83570492,23.68001507,44.41617024,42.28445832,34.05620996,84.2506161,39.38971949,31.83902349,35.50358818,65.52132266,50.06992391,36.13475875,59.42846901,37.0221888,46.00296271,45.15792366,36.82389728,73.1404567,60.02668652,58.00475378,46.8487646,54.67135982,19.95364156,47.34026355,100.3398414,25.32167336,37.15382192,32.66183123,19.74265131
"FGF17",49.3486278,43.41163432,52.81219178,51.1720354,60.53409731,45.76345575,53.80620789,43.08740424,52.19102079,62.31063997,46.92123739,55.60839233,65.74004561,74.21361999,68.88538899,48.23541349,49.05835151,50.65031183,57.89565151,86.68497958,48.13273445,54.90575722,48.38913059,57.05661406,46.04694195,48.17808639,50.09944612,59.97892574,51.37684275,50.12860148,52.71355986,52.03991376,49.92538064,47.70748263,53.49226473,47.50285023,63.5380036,47.55027055,61.59075204,54.48439434,55.40490887,60.69221723,72.67423473,41.17692829,79.65696744,55.34038534,54.14046693,64.42216443,63.79104259,170.8860357,57.50931804,57.0886318,56.92139682,57.665456,56.02035634,42.83863206,60.52766388,58.94006611,49.04351448,58.26798535,51.24938469,51.41731223,58.48281223,58.61185936,66.92026639,47.15859481,48.62025507,42.65394386
"FGF9",336.9934726,589.0122963,42.82142802,158.0451657,1332.005302,109.8783454,805.0605725,128.1805773,652.088428,1541.512525,922.9054825,1781.133246,807.3281134,162.6141956,157.2724872,339.4913837,739.2300313,1290.617802,165.8451395,343.591821,402.6061048,476.5043957,354.9599244,545.2058683,469.0363481,50.06857962,363.0521855,406.440349,1250.03575,741.7759413,193.9009621,443.9682539,846.7454033,313.8168554,859.5698377,456.807953,120.3556296,96.63158706,245.1258033,593.8136251,339.0661913,340.0226331,301.8502145,543.6796397,623.9215109,304.2733803,1094.664998,157.510232,936.2357559,116.387251,435.3920113,171.0447812,189.3486766,450.7804164,1397.541475,205.062951,500.090767,258.4809047,397.9794396,391.1968576,400.0729008,521.4464039,637.3550347,176.568796,380.1995761,724.0998207,448.1767562,452.138228
"FOXM1",35.17233929,29.19274018,33.21269905,33.71007863,38.1142962,29.0272211,47.49618808,24.73529966,49.82276187,52.64649486,32.71677802,43.38728029,35.7170251,30.60520294,32.90438433,43.71401684,30.38859586,73.28007944,36.47901569,34.54272729,57.10512528,49.50137779,44.1407693,30.06616422,34.90968685,27.80097982,41.59702997,35.02053707,44.8125335,37.74037465,32.65224434,39.0804383,27.8862962,32.62775286,29.3697822,27.82277391,25.0322595,29.84123848,32.93785945,32.89679482,34.20863997,31.57195934,35.68162872,51.03153897,110.3279511,62.14083886,62.49040161,52.50209111,43.42379852,46.81366072,36.49994599,32.40943088,31.39182144,26.2389075,113.3237653,37.45602296,43.08100953,131.7712142,40.45868833,71.27116707,42.57187754,40.9667431,21.27151102,37.35434729,39.73901231,32.87109587,27.68537475,27.12059555
"GPT",84.62584173,75.62245199,78.22742632,80.55513447,106.0257663,81.12285071,70.55674268,82.76753243,68.66184655,81.41471561,80.17451987,84.05952042,68.50830474,81.40292517,112.0218482,81.09825335,83.96298891,88.13013686,94.14392388,91.12656213,87.5192925,76.6637223,70.17486264,82.15241858,76.5341472,84.21531816,87.46057824,80.44081697,84.93339394,85.54981902,74.35195278,81.94063027,80.77300295,86.67053408,89.54013866,54.47602682,86.95193695,68.46595091,97.26220093,55.24576012,82.4584306,76.96275089,73.44727444,72.89775976,73.85465885,82.34203483,69.60111703,84.90384239,68.56797597,75.96684399,82.73403539,75.706658,90.23513719,70.99600226,83.40150813,106.8506725,99.23315994,84.01559851,82.55836699,106.4833099,80.61380526,76.26699659,57.4806158,90.91617825,88.09445427,80.69829865,81.30119893,72.39105581
"KIF23",17.54254004,49.73104518,17.79642809,43.0482533,22.70305415,23.39351585,68.02372953,41.24247949,44.44097917,50.10845043,15.90876696,153.1042197,17.43213596,64.09201358,10.28415975,49.32214043,27.43569916,293.7860409,27.35071755,61.64872622,31.2417209,42.87000925,49.40122513,12.61385478,17.28289819,24.24888711,33.26279327,22.60585821,134.2382582,97.98444318,664.7003474,284.5441445,13.55706577,79.7168142,36.30241098,18.01005467,20.14761649,17.30132947,14.73916085,15.88315835,27.50674163,130.9877575,85.15001634,71.11820673,239.619378,48.98658096,25.57734952,64.21906774,32.55680455,14.08050233,13.0220396,13.83397636,14.4693692,21.51506287,184.7424019,24.36406972,38.46389828,246.2183732,17.64912382,104.6284346,27.459372,21.88418437,37.0006106,13.60372584,47.81165024,22.1895214,92.83973232,25.54351285
"KRT18",1806.042224,2408.435241,1312.085891,4001.371251,3353.255727,285.0796999,3638.360036,2609.771349,1909.107366,2560.612348,152.9760188,1010.920369,757.741979,632.0013897,307.2602681,446.4888484,939.3118645,1628.335158,563.0396783,3431.653496,488.7207589,395.3063834,7622.774319,1238.063366,144.784979,1207.332819,663.707794,2606.990093,2434.385971,5856.163392,3172.487584,740.3766518,516.1051412,2319.127105,872.2804203,344.1532266,2481.915441,278.2766083,362.0527175,124.0019887,1740.783309,1872.773201,2054.038885,2682.142977,6646.209892,1069.463713,3555.544105,2127.452548,590.8186489,870.0644975,233.3015847,612.7265917,1933.234369,587.3623347,4985.687924,657.6040981,872.979558,5765.739888,564.583255,4758.787722,1266.137653,298.9490121,501.6580934,730.9795601,4402.475816,49.46136669,1046.581028,72.9006619
"KRT19",1829.80407,2203.548982,12.13390797,2544.88711,30.63095272,15.86137799,108.4850856,63.51237636,83.41781233,146.6854938,137.409071,30.17576434,252.6683987,141.5617893,41.82064415,96.47460903,144.4081243,40.28530552,211.049459,111.9742876,50.62782601,153.0884162,38.80602779,54.39473012,68.8007597,16.27122118,495.0955201,77.25378303,53.98217487,271.0007661,353.1683894,145.0705096,120.4840592,67.55998098,252.7815363,62.69688862,655.2228124,37.24974551,143.1827139,106.8255236,62.61680605,242.1389171,72.65414143,54.54095036,714.0574333,30.23416895,72.31130175,17.44419929,120.9533952,13.58198756,55.45337431,120.7551641,342.2575559,113.204187,75.95866748,87.97204102,46.0362038,1440.282634,157.4300864,45.26677418,149.0707441,352.6389077,46.08429855,128.4787201,161.4726794,56.06353892,210.6329906,193.4506546
"KRT8",66.56004144,39.48830786,38.47703931,42.55924581,47.42172417,25.31532142,47.38513071,44.2424662,72.54009375,40.84347264,45.13622081,45.44398242,49.70150896,51.42808961,42.08845533,48.90777425,42.12111401,31.54017526,32.26248037,45.36083316,37.46878897,41.65257103,42.73763234,31.22907342,29.55168573,64.40947023,45.16802397,50.68251163,35.29071913,50.12787379,588.0819759,34.47121519,44.62569889,47.86784822,36.32533234,37.86933346,45.51611951,37.03150192,32.31139323,34.95378503,37.17738911,397.53066,67.28045354,72.16011627,685.0110545,44.47551518,51.26266031,46.01783972,48.36024505,41.28111419,47.93717814,35.38588434,45.95181631,39.85824755,50.89552142,38.24870194,47.80046354,940.2852892,37.64691748,98.52397349,38.07930815,46.61912681,37.05865551,41.58317501,66.79103238,36.4388087,36.64294169,29.41004126
"MUC1",351.4662933,74.84124348,55.74688263,100.5261105,166.8034276,75.96865388,121.3305333,98.29635954,118.3828868,171.6493605,97.04666962,115.4277921,113.9868956,92.07189294,142.1517312,111.8928299,79.26980402,146.7759249,102.0545224,95.20149178,109.8531057,165.9599655,168.4695543,66.61325106,194.6186047,49.49780024,163.1129022,72.90076148,85.25406554,209.631549,228.1974212,83.8023576,179.2345215,145.6878326,115.5273704,108.9135403,181.7062631,162.3895951,225.0526872,103.1944318,121.7141826,205.7091987,82.30298999,90.39967443,309.7458457,143.3983403,171.8523649,166.825849,87.20482141,78.61254889,76.95575235,94.30596629,243.8175654,100.6612251,222.5290345,164.2330122,58.86175684,1526.735804,70.63047036,276.8635257,155.6067044,381.5971203,213.8558875,117.7761347,99.74953576,160.2570053,165.9755875,160.3477815
"NEFL",13.52871951,45.35653397,14.25485914,34.97751558,12.18811578,10.85025118,581.0133683,38.45328285,9.906627971,43.7235723,26.79978979,11.82311763,62.46244839,18.88211946,15.52579685,11.89610467,15.06610093,56.07244152,12.68563888,21.22089993,80.49787671,12.0565701,14.07391054,14.10599484,15.57350568,34.70223377,11.95740497,11.76956053,19.87445871,40.67608114,32.89927594,99.1639021,11.45980092,13.90975993,18.90813355,12.59116133,34.59672635,12.18539257,19.90846353,16.70699962,54.04431698,11.05383406,10.94614691,28.42930379,131.6032584,17.48379289,11.76529601,117.534178,13.30665869,12.3050578,16.26132147,12.68468964,11.65539395,199.1588577,34.24075379,12.69409553,62.38084147,350.6651657,15.38154897,16.82765971,95.01496627,17.55976799,13.26725423,13.02496421,169.8930375,12.73056438,37.32919715,43.82528538
"OCLN",43.14194631,60.08438044,13.44426391,141.0622184,18.94003201,45.31408298,31.61497202,55.94838915,26.4378638,31.63031529,18.16786662,21.89771403,37.33134734,73.45776055,21.81053754,25.49809577,19.54458696,38.57891036,40.32324065,103.7843861,22.26167913,42.50106548,39.05343191,16.13529916,30.22007337,28.35529607,77.71197702,19.52107495,33.03294824,32.65825874,44.73420755,44.48756933,26.27977805,23.06180034,45.92474235,23.18148556,51.83430383,27.91476142,15.21149111,15.24303142,33.1834993,33.94409228,53.7834429,31.03503046,18.86839019,27.54230555,15.49639912,39.96911742,56.72568921,178.549605,16.35604095,17.78727058,34.84011202,69.39359919,21.80849924,16.23851658,156.831733,19.85553798,14.34404212,46.66395795,23.2572347,20.71087724,35.44444264,21.46940025,19.5109863,23.48305869,48.14603161,20.21716586
"PPARGC1A",21.06149461,15.14731705,21.04298341,14.96101985,15.22797261,15.85464635,24.59330031,16.42534475,16.21861227,38.80067609,25.94330557,20.55593731,16.97139401,17.35933266,20.31588887,25.79456828,15.69126428,35.11031428,19.41979715,17.79753548,17.73072827,16.97148716,17.5200074,22.90987826,20.42314762,24.92369646,19.24648531,18.04761163,16.33189759,22.40906525,19.37671461,17.77056219,16.82357221,17.68463677,19.97782213,26.6376051,19.5605897,17.55071379,21.42577013,14.06265638,18.75562141,20.02245332,21.04299457,24.29216319,14.48215766,19.73556021,17.89218919,15.96000825,14.94282375,17.00051281,15.96783227,17.02147708,17.74696756,15.58575087,16.51027001,13.57963999,25.32087253,14.79537337,17.80691618,19.81383186,16.72143433,13.5068767,17.06144866,17.82380946,17.32743411,18.19977896,22.3282624,23.97573634
"PVALB",19.54429226,142.7299117,15.77792453,81.9497848,15.55931893,18.81115505,222.095246,191.6170546,26.06812853,21.47593158,22.40704694,17.63862676,17.3842972,37.66501216,35.61399016,17.12232866,114.8462152,97.18173434,172.2095529,156.844359,74.61112507,19.51830151,78.86327335,17.01577473,17.32279221,220.2633485,26.18077979,34.55919885,303.6844128,20.55666657,22.12994717,372.1602343,16.08471128,19.49050161,26.79876567,16.65556099,252.3900284,25.90985332,18.87129093,15.30830877,270.3328973,56.55053364,13.87722002,286.3104154,57.79270668,31.46430461,161.1148782,20.31742426,15.50626148,18.5114657,27.02134993,15.5549869,37.57028089,34.59955248,76.47673834,22.86854208,94.27317457,18.75050133,18.72582121,500.8094089,31.33459402,18.15395548,22.08035998,16.84995344,143.8141244,15.97703928,27.67938124,19.78772083
"SDHA",1141.447788,2346.286767,1845.149354,4733.524664,2102.196189,1545.409826,1937.931757,2222.025356,1152.735858,1572.95072,915.7363256,3334.932248,645.5230908,1534.338521,872.22154,1786.486661,1049.940986,2666.397384,979.7344848,1468.59318,1625.591055,823.0432602,1486.256487,918.8135031,1106.804233,1659.987952,1082.315905,936.0905794,1855.577574,2120.160673,1718.122788,1542.032462,1577.124237,2124.234788,726.5799855,773.151589,1170.64507,795.7536809,1800.660892,897.9702536,1226.55412,922.6484993,1193.844472,1324.73862,1592.318825,1191.660771,889.4089109,1237.109658,722.9561411,1728.52697,971.4626486,1071.596412,1535.735057,657.4150623,1228.706846,943.1976638,1901.337756,1026.116884,1140.636264,1715.873359,1484.308453,1025.318112,1134.676935,1288.109341,2168.213765,1096.154933,1441.538511,1455.801765
"TJP1",2990.568665,9352.321512,1517.397797,7435.50532,3248.089373,2396.825909,3144.489266,4122.341314,1344.891642,4666.991976,4289.102934,1341.233063,5074.658269,4950.109268,2875.403214,3569.861446,2267.256133,3918.480258,3950.192267,7427.671112,1365.320466,6711.344363,3611.786293,1897.393353,2536.3192,2565.144073,5094.286482,2502.621478,2948.13733,4577.384291,5651.639516,5132.218161,5719.495662,2064.069339,4383.794111,2529.115302,3752.295128,2766.411349,2134.300014,1429.088004,3043.960655,3650.604947,5213.725159,2353.599796,3733.845978,2787.338895,4590.785773,2302.044198,4636.837585,2098.243574,1975.288526,2098.5363,4632.737956,5701.529515,9397.99515,3020.420935,3281.128414,3145.501382,2616.497182,3938.97085,3754.114024,3923.192536,5204.789271,2058.999287,2601.060715,2687.866833,4633.520167,2331.369612
"TOP2A",53.40925178,40.18576454,100.0667189,128.1245188,187.8657909,17.07102306,410.920201,24.05236073,244.4410533,111.3598292,58.66831057,41.42785338,50.30586066,17.89786713,13.91514127,20.86531302,46.66105881,480.6787645,55.06553883,17.51735588,416.5975128,274.8729216,75.95535283,21.95843826,57.73742847,16.59684276,123.4137264,50.20704804,90.90613969,106.9903392,57.14264067,94.98062921,38.21361018,40.15272901,26.38327263,42.88113963,20.49169445,23.46964783,18.6930158,58.6620467,202.031493,11.82899747,63.12424849,290.6086124,711.4905716,293.8124241,302.0715529,70.90943731,144.3309729,106.2439293,21.53219629,23.34526118,24.30923588,49.23178309,694.8860109,38.79643527,79.1209574,1638.449427,39.25506094,191.0670078,74.95874082,57.02107526,39.6985352,15.18264346,171.3148731,26.66115774,15.30674846,19.25352607
"TYMS",88.61768737,102.5994501,534.2263818,301.1176706,87.58551472,183.5682873,164.6720685,210.261606,67.71945768,243.2077417,189.9403312,68.71446262,67.71395632,137.1217481,198.4162644,152.3013344,189.1220532,295.5456412,123.1802385,126.5713201,336.9618712,200.9544419,121.9049915,197.8624378,259.2148661,295.0089736,169.8969293,96.07459057,150.1366888,199.598461,253.2673432,288.5245879,96.35886805,237.91401,141.5250493,94.68867004,229.1050828,51.49521086,265.9581821,234.5553287,263.7102811,136.4665717,125.6813837,334.0839161,860.1789631,419.9348014,158.0878454,169.5525212,116.7568815,363.5438314,181.8998544,168.7630691,114.6194541,64.12261328,322.8175705,178.5071529,164.7822521,576.5226303,192.657161,165.6757035,382.8050379,42.93101884,172.2768767,230.3956166,249.9374179,192.3754592,118.9720992,127.8083736
"VIM",92.34527116,1105.426212,158.941276,658.4938736,268.6360659,136.3839455,353.4290879,273.3634942,241.3361387,381.4905369,561.2858275,93.08443998,67.71395632,277.9589975,83.20907866,283.5286643,69.17821336,447.8855724,240.3569132,750.1491237,124.4790855,167.7580993,149.256336,200.8833446,181.297024,262.4036615,230.6238677,141.7205636,217.3285165,65.06779294,719.6042449,499.8573164,276.0397617,373.3684913,211.239309,327.7535042,202.6872372,155.4062745,208.6126164,93.6493581,476.5200401,503.9748209,713.1580505,282.3359033,617.2604243,713.2204822,109.6477092,143.0215238,136.0244772,33.3926005,176.8046229,160.0490972,571.3135157,457.4661267,130.7432647,83.669188,583.0546331,72.24778797,220.7475469,391.0562214,39.80767091,206.3811551,386.4453281,158.1492495,179.9306004,229.1535724,361.9552497,156.6649092
"WNT5A",310.7749464,790.9307201,797.2692411,85.9652669,80.81422789,739.3621109,631.3710862,393.9965782,1514.37878,409.7262514,557.1998454,58.89236042,111.4742711,229.3366752,1166.200859,418.2610638,1342.700975,284.9465471,359.2858167,964.0706281,171.3964357,76.49138243,400.7529857,1161.197409,285.8532446,1080.495441,320.7899082,1196.732802,1834.047802,290.5174486,241.9157139,1514.77275,107.4351329,693.118219,114.9130366,412.2285903,71.81589699,133.0729913,530.6782236,145.5346953,511.7900927,139.2666053,1045.607528,1268.124521,20.69897845,226.0618881,416.2594442,380.2424315,83.44492292,81.32605153,1271.588319,313.8182663,196.5051242,233.5678748,963.0128033,296.0939152,2001.785585,60.14787562,824.1595571,61.43460995,646.632222,573.7168327,79.02167261,206.5798819,730.355102,733.8189677,684.1906684,1064.343964
